חוברת: מגילה פרק א חלק א

Flipbook: df_6678
עמודי PDF: 95  (הטקסט היה הפוך ותוקן)
סוגיות שזוהו: 42

סוגיה  עמוד   טווח
1      6      ב ע"א
2      8      ב ע"א
3      10     ב ע"א
4      13     ב ע"א - ב ע"ב
5      15     ב ע"ב
6      17     ב ע"ב
7      19     ב ע"ב - ג ע"א
8      20     ג ע"א
9      22     ג ע"א
10     25     ג ע"א - ג ע"ב
11     27     ג ע"ב
12     29     ג ע"ב - ד ע"א
13     30     ד ע"א
14     33     ד ע"א - ד ע"ב
15     35     ד ע"ב
16     37     ד ע"ב - ה ע"א
17     38     ה ע"א
18     40     ה ע"א
19     43     ה ע"א - ה ע"ב
20     45     ה ע"ב
21     47     ה ע"ב
22     48     ה ע"ב - ו ע"א
23     50     ו ע"א
24     52     ו ע"א
25     55     ו ע"א - ו ע"ב
26     57     ו ע"ב
27     59     ו ע"ב
28     61     ו ע"ב
29     62     ו ע"ב - ז ע"א
30     64     ז ע"א
31     66     ז ע"א - ז ע"ב
32     69     ז ע"ב
33     71     ז ע"ב
34     73     ז ע"ב
35     74     ח ע"א
36     76     ח ע"א
37     79     ח ע"א - ח ע"ב
38     81     ח ע"ב
39     82     ח ע"ב - ט ע"א
40     84     ט ע"א - ט ע"ב
41     87     ט ע"ב
42     89     ט ע"ב
