daf,amud,sugya,pdf_page,link
ב,"ע""א",1,6,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a8%d7%90%d7%a9%d7%95%d7%9f/#flipbook-df_6678/6/
ב,"ע""ב",4,13,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a8%d7%90%d7%a9%d7%95%d7%9f/#flipbook-df_6678/13/
ג,"ע""א",7,19,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a8%d7%90%d7%a9%d7%95%d7%9f/#flipbook-df_6678/19/
ג,"ע""ב",10,25,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a8%d7%90%d7%a9%d7%95%d7%9f/#flipbook-df_6678/25/
ד,"ע""א",12,29,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a8%d7%90%d7%a9%d7%95%d7%9f/#flipbook-df_6678/29/
ד,"ע""ב",14,33,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a8%d7%90%d7%a9%d7%95%d7%9f/#flipbook-df_6678/33/
ה,"ע""א",16,37,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a8%d7%90%d7%a9%d7%95%d7%9f/#flipbook-df_6678/37/
ה,"ע""ב",19,43,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a8%d7%90%d7%a9%d7%95%d7%9f/#flipbook-df_6678/43/
ו,"ע""א",22,48,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a8%d7%90%d7%a9%d7%95%d7%9f/#flipbook-df_6678/48/
ו,"ע""ב",25,55,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a8%d7%90%d7%a9%d7%95%d7%9f/#flipbook-df_6678/55/
ז,"ע""א",29,62,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a8%d7%90%d7%a9%d7%95%d7%9f/#flipbook-df_6678/62/
ז,"ע""ב",31,66,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a8%d7%90%d7%a9%d7%95%d7%9f/#flipbook-df_6678/66/
ח,"ע""א",35,74,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a8%d7%90%d7%a9%d7%95%d7%9f/#flipbook-df_6678/74/
ח,"ע""ב",37,79,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a8%d7%90%d7%a9%d7%95%d7%9f/#flipbook-df_6678/79/
ט,"ע""א",39,82,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a8%d7%90%d7%a9%d7%95%d7%9f/#flipbook-df_6678/82/
ט,"ע""ב",40,84,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a8%d7%90%d7%a9%d7%95%d7%9f/#flipbook-df_6678/84/
