חוברת: מגילה פרק א חלק ב

Flipbook: df_6683
עמודי PDF: 87  (הטקסט היה הפוך ותוקן)
סוגיות שזוהו: 38

סוגיה  עמוד   טווח
1      7      ט ע"ב - י ע"א
2      8      י ע"א - י ע"ב
3      11     י ע"ב
4      13     י ע"ב
5      15     י ע"ב - יא ע"א
6      16     יא ע"א
7      18     יא ע"א
8      20     יא ע"א - יב ע"ב
9      23     יא ע"ב
10     25     יא ע"ב - יב ע"א
11     26     יב ע"א
12     28     יב ע"א - יב ע"ב
13     31     יב ע"ב
14     33     יב ע"ב
15     35     יב ע"ב - יג ע"א
16     36     יג ע"א
17     38     יג ע"א
18     41     יג ע"א - יג ע"ב
19     43     יג ע"ב
20     45     יג ע"ב
21     46     יג ע"ב - יד ע"א
22     48     יא ע"א
23     50     יד ע"א
24     53     יד ע"א - יד ע"ב
25     55     יד ע"ב
26     56     יד ע"ב
27     58     [אזהרה] לא זוהה טווח · "סוגיה 27"
28     60     [אזהרה] לא זוהה טווח · "סוגיה 28"
29     63     [אזהרה] לא זוהה טווח · "סוגיה 29"
30     65     [אזהרה] לא זוהה טווח · "סוגיה 30"
31     67     [אזהרה] לא זוהה טווח · "סוגיה 31"
32     68     [אזהרה] לא זוהה טווח · "סוגיה 32"
33     70     [אזהרה] לא זוהה טווח · "סוגיה 33"
34     72     [אזהרה] לא זוהה טווח · "סוגיה 34"
35     75     [אזהרה] לא זוהה טווח · "סוגיה 35"
36     77     [אזהרה] לא זוהה טווח · "סוגיה 36"
37     79     יז ע"א
38     80     יז ע"א
