daf,amud,sugya,pdf_page,link
ט,"ע""ב",1,7,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a9%d7%a0%d7%99/#flipbook-df_6683/7/
י,"ע""א",1,7,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a9%d7%a0%d7%99/#flipbook-df_6683/7/
י,"ע""ב",2,8,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a9%d7%a0%d7%99/#flipbook-df_6683/8/
יא,"ע""א",5,15,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a9%d7%a0%d7%99/#flipbook-df_6683/15/
יא,"ע""ב",8,20,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a9%d7%a0%d7%99/#flipbook-df_6683/20/
יב,"ע""א",8,20,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a9%d7%a0%d7%99/#flipbook-df_6683/20/
יב,"ע""ב",8,20,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a9%d7%a0%d7%99/#flipbook-df_6683/20/
יג,"ע""א",15,35,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a9%d7%a0%d7%99/#flipbook-df_6683/35/
יג,"ע""ב",18,41,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a9%d7%a0%d7%99/#flipbook-df_6683/41/
יד,"ע""א",21,46,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a9%d7%a0%d7%99/#flipbook-df_6683/46/
יד,"ע""ב",24,53,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a9%d7%a0%d7%99/#flipbook-df_6683/53/
טו,"ע""א",26,56,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a9%d7%a0%d7%99/#flipbook-df_6683/56/
טו,"ע""ב",28,60,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a9%d7%a0%d7%99/#flipbook-df_6683/60/
טז,"ע""א",31,67,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a9%d7%a0%d7%99/#flipbook-df_6683/67/
טז,"ע""ב",35,75,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a9%d7%a0%d7%99/#flipbook-df_6683/75/
יז,"ע""א",37,79,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%90-%d7%97%d7%9c%d7%a7-%d7%a9%d7%a0%d7%99/#flipbook-df_6683/79/
