חוברת: מגילה פרקים ב-ד

Flipbook: df_6687
עמודי PDF: 158  (הטקסט היה הפוך ותוקן)
סוגיות שזוהו: 64

סוגיה  עמוד   טווח
1      6      יז ע"א
2      9      יז ע"א - יז ע"ב
3      11     יז ע"ב
4      12     יז ע"ב - יח ע"א
5      14     יח ע"א
6      16     יח ע"א
7      18     יח ע"א
8      21     יח ע"א - יח ע"ב
9      23     יח ע"ב
11     26     יט ע"א
21     28     יט ע"א
31     31     יט ע"א - יט ע"ב
41     33     יט ע"ב
51     34     יט ע"ב - כ ע"א
61     36     כ ע"א
71     39     כ ע"א - כ ע"ב
81     41     כ ע"ב
91     42     כ ע"ב - כא ע"א
12     47     כא ע"א - כא ע"ב
22     49     כא ע"ב
32     51     כא ע"ב - כב ע"א
42     52     כב ע"א
52     54     כב ע"א - כב ע"ב
62     57     כב ע"ב
72     59     כב ע"ב
82     60     כב ע"ב - כג ע"א
92     62     כג ע"א
13     67     כג ע"ב
23     68     כג ע"ב - כד ע"א
33     70     כד ע"א - כד ע"ב
43     73     כד ע"ב
53     75     כד ע"ב
63     76     כד ע"ב - כה ע"א
73     78     כה ע"א
83     81     כה ע"א - כה ע"ב
93     83     כה ע"ב
14     86     כה ע"ב - כו ע"א
24     88     כו ע"א - כו ע"ב
34     91     כו ע"ב
44     93     כו ע"ב
54     94     כו ע"ב - כז ע"א
64     96     כז ע"א
74     98     כז ע"א
84     101    כז ע"א - כז ע"ב
94     103    כז ע"ב
15     106    כז ע"ב - כח ע"א
25     108    כח ע"א
35     110    כח ע"א
45     113    כח ע"א - כח ע"ב
55     115    כח ע"ב
65     117    כח ע"ב - כט ע"א
75     118    כט ע"א
85     120    כט ע"א
95     123    כט ע"א - כט ע"ב
16     127    כט ע"ב
26     128    כט ע"ב - ל ע"א
36     130    ל ע"א
46     132    ל ע"א
56     135    ל ע"א - ל ע"ב
66     137    ל ע"ב - לא ע"א
76     138    לא ע"א
86     141    לא ע"א - לא ע"ב
96     143    לא ע"ב
17     146    לב ע"א
