daf,amud,sugya,pdf_page,link
יז,"ע""א",1,6,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/6/
יז,"ע""ב",2,9,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/9/
יח,"ע""א",4,12,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/12/
יח,"ע""ב",8,21,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/21/
יט,"ע""א",10,25,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/25/
יט,"ע""ב",13,31,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/31/
כ,"ע""א",15,34,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/34/
כ,"ע""ב",17,39,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/39/
כא,"ע""א",19,42,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/42/
כא,"ע""ב",21,47,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/47/
כב,"ע""א",23,51,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/51/
כב,"ע""ב",25,54,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/54/
כג,"ע""א",28,60,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/60/
כג,"ע""ב",30,65,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/65/
כד,"ע""א",32,68,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/68/
כד,"ע""ב",33,70,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/70/
כה,"ע""א",36,76,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/76/
כה,"ע""ב",38,81,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/81/
כו,"ע""א",41,86,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/86/
כו,"ע""ב",42,88,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/88/
כז,"ע""א",45,94,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/94/
כז,"ע""ב",48,101,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%9e%d7%92%d7%99%d7%9c%d7%94-%d7%91-%d7%93/#flipbook-df_6687/101/
