חוברת: תענית פרקים א-ב

Flipbook: df_6714
עמודי PDF: 192  (הטקסט היה הפוך ותוקן)
סוגיות שזוהו: 78

סוגיה  עמוד   טווח
1      8      ב ע"א
2      10     ב ע"א - ב ע"ב
3      13     ב ע"ב
4      15     ב ע"ב
5      16     ב ע"ב - ג ע"א
6      18     ג ע"א
7      21     ג ע"א - ג ע"ב
8      23     ג ע"ב
9      24     ג ע"ב - ד ע"א
11     28     ד ע"א - ד ע"ב
21     31     ד ע"ב
31     33     ד ע"ב
41     34     ד ע"ב - ה ע"א
51     36     ה ע"א
61     38     ה ע"א - ה ע"ב
71     41     ה ע"ב
81     43     ה ע"ב - ו ע"א
91     44     ו ע"א
12     49     ו ע"א - ו ע"ב
22     51     ו ע"ב
32     53     ו ע"ב - ז ע"א
42     54     ז ע"א
52     56     ז ע"א
62     58     ז ע"א
72     61     ז ע"א - ז ע"ב
82     63     ז ע"ב
92     65     ז ע"ב
13     68     ח ע"א
23     70     ח ע"א
33     73     ח ע"א - ח ע"ב
43     75     ח ע"ב
53     77     ח ע"ב
63     78     ח ע"ב - ט ע"א
73     80     ט ע"א
83     82     ט ע"א - ט ע"ב
93     85     ט ע"ב
14     88     ט ע"ב - י ע"א
24     90     י ע"א
34     92     י ע"א
44     94     י ע"א - י ע"ב
54     97     י ע"ב
64     99     י ע"ב - יא ע"א
74     100    יא ע"א
84     102    יא ע"א
94     104    יא ע"א
15     108    יא ע"ב - יב ע"א
25     110    יב ע"א
35     113    יב ע"א - יב ע"ב
45     115    יב ע"ב
55     117    יב ע"ב
65     118    יב ע"ב - יג ע"א
75     120    יג ע"א
85     123    יג ע"א - יג ע"ב
95     125    יג ע"ב
16     128    יג ע"ב - יד ע"א
26     130    יד ע"א
36     133    יד ע"א - יד ע"ב
46     135    יד ע"ב
56     137    יד ע"ב
66     138    יד ע"ב
76     140    [אזהרה] לא זוהה טווח · "סוגיה 76"
86     142    [אזהרה] לא זוהה טווח · "סוגיה 86"
96     145    [אזהרה] לא זוהה טווח · "סוגיה 96"
17     149    [אזהרה] לא זוהה טווח · "סוגיה 17"
27     150    [אזהרה] לא זוהה טווח · "סוגיה 27"
37     152    [אזהרה] לא זוהה טווח · "סוגיה 37"
47     154    [אזהרה] לא זוהה טווח · "סוגיה 47"
57     157    [אזהרה] לא זוהה טווח · "סוגיה 57"
67     159    [אזהרה] לא זוהה טווח · "סוגיה 67"
77     161    יז ע"א
87     162    יז ע"א
97     164    יז ע"א
18     169    יז ע"ב
28     171    יז ע"ב
38     172    יז ע"ב - יח ע"א
48     174    יח ע"א
58     177    יח ע"א - יח ע"ב
68     179    יח ע"ב

[אזהרה] ג ע"ב — בתוך סוגיה 7, לא נמצאה נקודת ההתחלה
