daf,amud,sugya,pdf_page,link
ב,"ע""א",1,8,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/8/
ב,"ע""ב",2,10,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/10/
ג,"ע""א",5,16,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/16/
ג,"ע""ב",7,21,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/21/
ד,"ע""א",9,24,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/24/
ד,"ע""ב",11,28,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/28/
ה,"ע""א",14,34,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/34/
ה,"ע""ב",16,38,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/38/
ו,"ע""א",18,43,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/43/
ו,"ע""ב",21,49,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/49/
ז,"ע""א",23,53,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/53/
ז,"ע""ב",27,61,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/61/
ח,"ע""א",30,67,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/67/
ח,"ע""ב",33,73,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/73/
ט,"ע""א",36,78,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/78/
ט,"ע""ב",38,82,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/82/
י,"ע""א",41,88,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%90-%d7%91/#flipbook-df_6714/88/
