חוברת: תענית פרקים ג-ד

Flipbook: df_6721
עמודי PDF: 178  (הטקסט היה הפוך ותוקן)
סוגיות שזוהו: 79

סוגיה  עמוד   טווח
1      9      יח ע"ב - יט ע"א
2      10     יט ע"א
3      12     יט ע"א
4      15     יט ע"א - יט ע"ב
5      17     יט ע"ב
6      19     יט ע"ב
7      21     יט ע"ב - כ ע"א
8      22     כ ע"א
9      24     כ ע"א
10     27     כ ע"א - כ ע"ב
11     29     כ ע"ב
12     31     כ ע"ב
13     33     כ ע"ב - כא ע"א
14     34     כא ע"א
15     36     כא ע"א
16     38     כא ע"א
17     41     כא ע"א - כא ע"ב
18     43     כא ע"ב
19     45     כא ע"ב
20     47     כא ע"ב - כב ע"א
21     48     כב ע"א
22     50     כא ע"א
23     52     כב ע"א
24     55     כב ע"א - כב ע"ב
25     57     כב ע"ב
26     59     כב ע"ב
27     60     כב ע"ב - כג ע"א
28     62     כג ע"א
29     64     כג ע"א
30     66     כג ע"א - כג ע"ב
31     69     כג ע"א - כג ע"ב
32     71     כג ע"ב
33     73     כג ע"ב
34     75     כג ע"ב
35     77     כג ע"ב - כד ע"א
36     78     כד ע"א
37     80     כד ע"א
38     82     כד ע"א
39     84     כד ע"א
40     87     כד ע"א - כד ע"ב
41     89     כד ע"ב
42     91     כד ע"ב
43     93     כד ע"ב
44     94     כד ע"ב - כה ע"א
45     96     כה ע"א
46     98     כה ע"א
47     100    כה ע"א
48     103    כה ע"א - כה ע"ב
49     105    כה ע"ב
50     107    כה ע"ב
51     108    כה ע"ב - כו ע"א
52     110    כו ע"א
53     112    כו ע"א
54     115    כו ע"א - כו ע"ב
55     117    כו ע"ב
56     119    כו ע"ב - כז ע"א
57     120    כז ע"א
58     122    כז ע"א
59     125    כז ע"א - כז ע"ב
60     127    כז ע"ב
61     129    כז ע"ב - כח ע"א
62     130    כח ע"א
63     132    כח ע"א
64     134    כח ע"א
65     137    כח ע"א - כח ע"ב
66     139    כח ע"ב - כט ע"א
67     140    כט ע"א
68     142    כט ע"א
69     144    כט ע"א
70     147    כט ע"א - כט ע"ב
71     149    כט ע"ב
72     151    כט ע"א - ל ע"א
73     152    ל ע"א
74     154    ל ע"א
75     156    ל ע"א - ל ע"ב
76     159    ל ע"ב
77     161    ל ע"ב - לא ע"א
78     162    לא ע"א
79     164    לא ע"א
