daf,amud,sugya,pdf_page,link
יח,"ע""ב",1,9,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%92-%d7%93/#flipbook-df_6721/9/
יט,"ע""א",1,9,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%92-%d7%93/#flipbook-df_6721/9/
יט,"ע""ב",4,15,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%92-%d7%93/#flipbook-df_6721/15/
כ,"ע""א",7,21,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%92-%d7%93/#flipbook-df_6721/21/
כ,"ע""ב",10,27,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%92-%d7%93/#flipbook-df_6721/27/
כא,"ע""א",13,33,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%92-%d7%93/#flipbook-df_6721/33/
כא,"ע""ב",17,41,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%92-%d7%93/#flipbook-df_6721/41/
כב,"ע""א",20,47,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%92-%d7%93/#flipbook-df_6721/47/
כב,"ע""ב",24,55,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%92-%d7%93/#flipbook-df_6721/55/
כג,"ע""א",27,60,https://www.sugiayomit.co.il/%d7%9e%d7%a1%d7%9b%d7%aa-%d7%aa%d7%a2%d7%a0%d7%99%d7%aa-%d7%a4%d7%a8%d7%a7-%d7%92-%d7%93/#flipbook-df_6721/60/
